,Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate
0,Dataset/sufi\Abida Parveen - Aaqa-Coke Studio Season 9.mp3,1.251042127609253,0.3905850648880005,0.3645005524158478,0.21776501500431578,9.428077697753906,1.346361756324768,2620.5446624079373,3288.9868533959248,21.73523314698697,6072.371896719053,0.05862075894377129,0.04516554174362908
1,Dataset/sufi\Abida Parveen - Chaap Tilak.mp3,1.2558157444000244,0.360844224691391,0.4265827536582947,0.23216031578806867,4.05877161026001,-1.8007447719573975,2603.2952421724076,2932.5044964543604,21.129470279046238,5540.174223868265,-0.018676947698405073,0.05451958097247634
2,Dataset/sufi\Abida Parveen - Dost.mp3,1.2295540571212769,0.39253807067871094,0.3935106098651886,0.22512821803968008,4.354653358459473,-0.46671101450920105,2412.372440261821,3087.5195620427785,20.98069461174785,5366.2392116809415,0.004400688263564305,0.03903210910406048
3,Dataset/sufi\Adnan Sami - Bhar Do Jholi Meri.mp3,1.3982102870941162,0.40784555673599243,0.47228503227233887,0.2515126053034044,11.28199291229248,3.999861001968384,2905.0594032847766,3775.0121644433802,20.32598186374934,6771.360094326529,-0.009060952606897725,0.04793693247939443
4,Dataset/sufi\Ahmed Jehanzeb - Khakhi Banda.mp3,1.184593915939331,0.4027658998966217,0.3972295820713043,0.2275109803202581,12.295783042907715,2.7449984550476074,2576.2124978306565,3215.1168703109056,21.134562024273553,5919.319149098842,0.021494509824403533,0.04658962505479326
5,Dataset/sufi\Akhil Sachdeva - Humsafar.mp3,1.0752215385437012,0.32659590244293213,0.34467145800590515,0.1971234082578516,9.107343673706055,-4.347269058227539,2389.9409402956126,2930.8558183946643,19.622756919640644,5285.794978714495,0.04324483642684204,0.04670344218346535
6,Dataset/sufi\Ali Sethi - Ranjish Hi Sahi.mp3,1.2352694272994995,0.45569875836372375,0.32351669669151306,0.20358019247147452,5.367345809936523,-0.08610024303197861,2236.9271430079766,3040.8157522017245,21.531941357984774,4910.257925472747,-0.014423501882228554,0.03784095113121722
7,Dataset/sufi\Amit Trivedi - Iktara.mp3,1.2413911819458008,0.4248495101928711,0.3893679082393646,0.23181219015506085,8.354031562805176,1.2718380689620972,2497.5123802354633,3458.212747306005,20.718946909370526,5741.273060184823,0.027990423517548237,0.03718616978083972
8,Dataset/sufi\Amit Trivedi - Namo Namo.mp3,1.234843134880066,0.3954682946205139,0.3913544714450836,0.2228129685897242,9.684490203857422,2.0186877250671387,2252.1619965634086,3179.797646550019,21.014624061431345,4738.9227679442165,0.014345792974586642,0.03950160709641766
9,Dataset/sufi\AR Rahman - Gurus of Peace (From Vande Mataram).mp3,1.4701544046401978,0.4312574863433838,0.4533141255378723,0.24909518287310536,5.154903411865234,-2.4721596240997314,2845.7129891878208,3461.946948892205,20.467432748344443,6433.583239910314,0.0006768830561157668,0.05111250221265046
10,Dataset/sufi\AR Rahman - Kun Faya Kun.mp3,1.261273741722107,0.38471001386642456,0.4544428884983063,0.24125064932975807,1.0113252401351929,-6.3389482498168945,2894.097240866546,3427.914854886401,20.71833805468424,6199.897502942248,-0.02069339102971893,0.05524850282490823
11,Dataset/sufi\AR Rahman - Noor-Un-Ala-Noor (From Meenaxi).mp3,1.3781684637069702,0.36596521735191345,0.4783051013946533,0.2561940895607077,0.6381599307060242,-4.038987159729004,1772.5950852799622,2404.6342279716437,19.57492927016444,3386.349915695016,-0.021728280100087427,0.035814864082028275
12,Dataset/sufi\AR Rahman - Piya Milenge.mp3,1.5096402168273926,0.4734603762626648,0.547111451625824,0.25878976094742645,6.33659029006958,3.1913840770721436,3131.616957363437,3577.0177962763705,20.057869860596792,6772.46423829068,0.018793411109571185,0.05999209165918488
13,Dataset/sufi\Arijit Singh - Aayat (From Bajirao Mastani).mp3,1.2296358346939087,0.40005531907081604,0.4127730429172516,0.23767627081952025,6.916372776031494,0.5966524481773376,3152.634288161955,3801.9844805775133,21.13333362950362,7243.078917586507,-0.019098839681933467,0.05707638205253421
14,Dataset/sufi\Arijit Singh - Tujhe Kitna Chahne Lage (From Kabir Singh) (1).mp3,1.1723027229309082,0.3620217442512512,0.34766876697540283,0.21246826163788624,15.792900085449219,3.009889841079712,2187.61905315136,3274.988794431224,21.16047780161099,5113.871005111211,-0.04443233597243256,0.03076453442110387
15,Dataset/sufi\Arijit Singh - Tujhe Kitna Chahne Lage (From Kabir Singh).mp3,1.1723027229309082,0.3620217442512512,0.34766876697540283,0.21246826163788624,15.792900085449219,3.009889841079712,2187.61905315136,3274.988794431224,21.16047780161099,5113.871005111211,-0.04443233597243256,0.03076453442110387
16,Dataset/sufi\Atif Aslam - Jeena Jeena (From Badlapur).mp3,1.2310447692871094,0.3807852864265442,0.32269036769866943,0.2046694586223802,9.583003044128418,1.9359030723571777,2346.4602327590187,3339.6071981315804,21.70660256967242,5260.090523770683,0.031489753219290595,0.03428699330721277
17,Dataset/sufi\Atif Aslam - Woh Lamhe Woh Baatein.mp3,1.2486275434494019,0.3650037348270416,0.428067684173584,0.24345746066937896,6.158511638641357,0.8519664406776428,2988.913312155841,2866.657050443443,21.67535140585881,6309.300249169435,-0.025494289828045146,0.07615223019622093
18,Dataset/sufi\Bilal Khan - Khamoshi - From Khamoshi.mp3,1.1972012519836426,0.3812081515789032,0.37543031573295593,0.2178375517814421,4.767784118652344,-0.09731075912714005,2758.3349591118476,3406.5418800632183,20.892890208028984,6297.209111855646,0.061058382864438016,0.053041619438377624
19,Dataset/sufi\Faisal Rafi - Jiya Dhadak Dhadak Jaye.mp3,1.6268031597137451,0.3788275718688965,0.45339953899383545,0.25158377869288595,1.7677459716796875,-6.125956058502197,1704.0095435927274,2118.5170817479684,19.6319799897918,3390.055887856713,0.0059000376630185015,0.033087311984144226
20,Dataset/sufi\Faiz Ali Faiz - Ya Ali.mp3,1.447040319442749,0.396244078874588,0.4749511480331421,0.25469086118481393,3.3292272090911865,-2.152500867843628,2151.345062778288,2512.0223364675103,21.04564254851434,4663.148302590267,0.03561263771499641,0.05050959596579016
21,Dataset/sufi\Farhan Saeed - Latthay Di Chaadar.mp3,1.273053765296936,0.41040924191474915,0.3978201448917389,0.22492735374203907,6.7757134437561035,0.9493476748466492,2110.289349081539,3123.580527858475,20.79275807071746,4587.433474493346,0.016319368894951912,0.031623409656459295
22,Dataset/sufi\Filmybox - Soniye (feat Rahat Fateh Ali Khan).mp3,1.2337095737457275,0.41405653953552246,0.41098326444625854,0.23355652828131804,11.643495559692383,1.98587167263031,2550.7451653381318,3579.4567443862566,20.090024692562682,5535.906527279592,0.03056470450296167,0.041834263498206535
23,Dataset/sufi\Jabbar Abbas - Dam Mast Qalandar (1).mp3,1.3130755424499512,0.45238131284713745,0.47442758083343506,0.24630444174909252,8.477392196655273,2.051140069961548,3113.0965931258725,3573.114739558636,20.26050621028998,6976.596247300216,-0.016614607813716348,0.0575232273828808
24,Dataset/sufi\Jabbar Abbas - Dam Mast Qalandar.mp3,1.3130755424499512,0.45238131284713745,0.47442758083343506,0.24630444174909252,8.477392196655273,2.051140069961548,3113.0965931258725,3573.114739558636,20.26050621028998,6976.596247300216,-0.016614607813716348,0.0575232273828808
25,Dataset/sufi\Javed Ali - Arziyan.mp3,1.302565336227417,0.4387533366680145,0.39051079750061035,0.23587158034129804,6.690361976623535,3.2887001037597656,3227.9969745177186,4358.126303424518,21.346389883168822,8108.062105029041,-0.0028297138874499314,0.04906130086689095
26,Dataset/sufi\Javed Bashir - Man Kunto Maula.mp3,1.2527811527252197,0.4368637502193451,0.4707794189453125,0.25002135279744614,18.445423126220703,4.988245487213135,2536.255926135271,3254.293755048467,20.372784450437035,5862.735263865719,0.045045759726101746,0.041940459029587075
27,Dataset/sufi\Kailash Kher - Allah Ke Bande.mp3,1.5782703161239624,0.3848343789577484,0.4017571210861206,0.2325922514075542,4.992550373077393,-1.8165727853775024,1865.810346156011,2361.8773539121125,21.02482976698131,4079.7780660173626,0.03422150509732802,0.04053225756381462
28,Dataset/sufi\Kailash Kher - Saiyyan.mp3,1.184526801109314,0.3908853232860565,0.3927631974220276,0.2228866453070595,2.792487382888794,-3.991114616394043,1603.0212783668371,1887.5094069725046,20.631788453274755,3318.295791567041,0.0637487701539153,0.036085259635943535
29,Dataset/sufi\Kavita Seth - Tidke Ghade.mp3,1.3356598615646362,0.41870054602622986,0.383619487285614,0.22816219104489724,9.344257354736328,3.8371481895446777,2742.6241098055107,3686.981834660361,21.73839377221736,6162.515010778057,-0.009748317651107641,0.04251300646789497
30,Dataset/sufi\KK - Tu Jo Mila.mp3,1.1394537687301636,0.369781494140625,0.44313400983810425,0.23356009797242017,9.946747779846191,0.29643145203590393,1951.4447412982195,2937.0269516382054,19.995158153251488,3738.736893840105,0.0638373015611709,0.03436111310206422
31,Dataset/sufi\Mithoon - Humnava (From Hamari Adhuri Kahani).mp3,1.1665258407592773,0.359907329082489,0.38149648904800415,0.2195998280331895,11.53138542175293,1.075121521949768,1982.0947134937585,2891.9007425398618,21.547107491586143,4128.6121554858155,0.03695218773992271,0.03417718411603175
32,Dataset/sufi\Mohit Chauhan - Pee Loon.mp3,1.4339191913604736,0.4059208929538727,0.4444994330406189,0.23889594482915838,7.952024936676025,0.09204237908124924,2789.16391266791,3384.0776513982487,20.52151507328154,6165.793207068288,-0.02359939073672087,0.051896706792931714
33,Dataset/sufi\Mohsin Abbas Haider - Uddi Ja (Coke Studio Season 9).mp3,1.2464076280593872,0.39953476190567017,0.40323489904403687,0.233393911409507,7.898674011230469,1.1926074028015137,2748.650460147736,3503.227565798268,21.561897260129722,6412.509774068047,0.00478400970758907,0.049177244976287955
34,Dataset/sufi\Momina Mustehsan - Tera Woh Pyar (Nawazishein Karam).mp3,1.2294734716415405,0.3437546491622925,0.3730500340461731,0.22029453444129624,11.692852020263672,0.9595012068748474,2803.4711817885154,3495.838588399776,22.24745739884931,6676.100574747087,-0.028436464678557438,0.0493037760666383
35,Dataset/sufi\Nusrat Fateh Ali Khan - Mere Rashke Qamar.mp3,1.4470319747924805,0.33170318603515625,0.4170469045639038,0.23424724590705315,2.8481972217559814,-4.077770709991455,2352.8982830441946,2294.5723574957096,21.371091932939947,4571.019583458679,0.0018614887254417214,0.05966898018823327
36,Dataset/sufi\Nusrat Fateh Ali Khan - Sanu Ek Pal Chain.mp3,1.4955991506576538,0.29364559054374695,0.42059066891670227,0.2364935711156279,1.7440850734710693,-8.120152473449707,2045.7558008366098,2198.3932424106188,23.224707342478773,3738.9147205519043,0.012724583159114192,0.05150157466321727
37,Dataset/sufi\Papon - Moh Moh Ke Dhaage (Male).mp3,1.20443594455719,0.37721577286720276,0.3393924832344055,0.211266589399325,3.4940762519836426,-2.378268241882324,2279.516694147775,3200.6236868386363,21.30989279284183,4860.4765309834,-0.00847729634896461,0.03570176810706137
38,Dataset/sufi\Prateek Kuhad - Kasoor.mp3,1.0688637495040894,0.3514821529388428,0.27904435992240906,0.1890460416150711,0.36187559366226196,-14.345863342285156,1087.6688814812564,1777.7134565266135,20.635642888064968,1796.4450121408336,-0.09007866977542106,0.018928185111354207
39,Dataset/sufi\Pritam - Hawayein (From Jab Harry Met Sejal).mp3,1.1848174333572388,0.3131895363330841,0.35027235746383667,0.2146444687133352,8.112704277038574,-1.0968809127807617,2186.2148467027396,3115.295493195433,20.26135199082616,4594.345257183171,0.017675489128307898,0.03760876900585465
40,Dataset/sufi\Pritam - Shayad (From Love Aaj Kal).mp3,1.1800059080123901,0.3418542742729187,0.3562462627887726,0.21419379889376583,9.192211151123047,-0.2089986950159073,2076.0164253726675,2911.604249736864,20.80760479714102,4161.831154146972,0.020622175439917872,0.03812721567143877
41,Dataset/sufi\Pritam - Tu Hi Mera (1).mp3,1.2480146884918213,0.39627379179000854,0.5133928060531616,0.2534600379767205,6.824565887451172,2.5577759742736816,2713.946784636033,3119.1803586824003,20.446708884642,5828.533657900443,0.0375995175490061,0.05538312195812452
42,Dataset/sufi\Pritam - Tu Hi Mera.mp3,1.2480146884918213,0.39627379179000854,0.5133928060531616,0.2534600379767205,6.824565887451172,2.5577759742736816,2713.946784636033,3119.1803586824003,20.446708884642,5828.533657900443,0.0375995175490061,0.05538312195812452
43,Dataset/sufi\Quratulain Balouch - Sammi Meri Waar.mp3,1.2018510103225708,0.4010882079601288,0.40913429856300354,0.22965607037116434,7.673386573791504,1.673823595046997,2721.0950794222304,3212.721311549362,21.427161071839127,6239.053416903353,-0.05058583563774432,0.04861565467559658
