,Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate
0,Dataset/Bollywood_Rap\Aditi Singh Sharma - High Rated Gabru (Female Version).mp3,1.5484106540679932,0.39956676959991455,0.49766290187835693,0.24897384345633433,6.368088245391846,-2.072016477584839,2534.6724007679686,2779.914639649255,21.5178052001565,5237.502029220779,0.01413736323265643,0.05459478997564935
1,Dataset/Bollywood_Rap\Amaal Mallik - Zero Hour Mashup 2015(Remix By Dj Kiran Kamath).mp3,1.3217796087265015,0.42337217926979065,0.47426673769950867,0.24148642899448167,17.113040924072266,4.136916637420654,2695.751490982802,3554.9718530400078,20.75156115108796,6223.854714161454,0.01481815328905694,0.04327543262691083
2,Dataset/Bollywood_Rap\Anirudh Ravichander - Pori Pathi Vizhum.mp3,1.4464595317840576,0.41080355644226074,0.49096930027008057,0.2499724965614832,7.124333381652832,0.2814982235431671,3440.8985030671797,3692.01587697742,20.331870528591306,7711.693718085405,0.010028612807775245,0.0683973776987122
3,Dataset/Bollywood_Rap\Badshah - Proper Patola.mp3,1.5705292224884033,0.4251602590084076,0.48469462990760803,0.2522734135712138,11.305251121520996,-1.3147242069244385,3283.321828054424,3618.5405023732037,20.807283694895645,7386.792014760269,-0.014556251154864258,0.06668953825658763
4,Dataset/Bollywood_Rap\Badshah - She Move It Like.mp3,1.5868277549743652,0.4834764897823334,0.36520645022392273,0.22326990593802737,13.47109317779541,0.76512211561203,2851.5253860500316,3128.245555149033,21.4470877634636,6239.336256117455,0.05097166040580605,0.055793134431076676
5,Dataset/Bollywood_Rap\Badshah - Tere Naal Nachna.mp3,1.7282741069793701,0.483896404504776,0.5224020481109619,0.25266626784085844,21.820297241210938,1.7806310653686523,2782.8943105026196,3237.0571817143423,20.397714084943356,6048.4270106889135,-0.002698998905868297,0.0511869470198136
6,Dataset/Bollywood_Rap\Big Dhillon - Stand Up - Spoken Word.mp3,1.6235698461532593,0.5281872749328613,0.45379704236984253,0.2453199243015523,7.949280738830566,2.7138633728027344,3783.8433186467087,3617.8789358412346,19.407229291139384,7719.994357794065,0.024031577486570557,0.08241336164677929
7,Dataset/Bollywood_Rap\Bohemia - Aja Ni Aja.mp3,1.5563331842422485,0.660425066947937,0.5810982584953308,0.26040349121729695,20.24883460998535,6.569024085998535,4450.728078584311,4227.477379502734,18.30859617027144,9385.905514843791,0.00593627416057231,0.08178973904466534
8,Dataset/Bollywood_Rap\Bohemia - Beparwah.mp3,1.3871235847473145,0.48357445001602173,0.528643012046814,0.2562128572926324,4.867860317230225,0.9511062502861023,3826.1471383885973,3882.3309069781594,20.185456039924933,8436.444078508908,0.027334580169749517,0.08275637162882658
9,Dataset/Bollywood_Rap\Bohemia - Bijlee.mp3,1.4072455167770386,0.5761957168579102,0.45388683676719666,0.2337446913697034,2.4676311016082764,-1.0648995637893677,2294.1409864531083,2695.1759528993093,18.84961727191648,5074.2019288277515,-0.00018419211685628307,0.044313759585398155
10,Dataset/Bollywood_Rap\Bohemia - Bumpin My Song.mp3,1.6796205043792725,0.5991460084915161,0.5161442160606384,0.25116960611966904,10.166182518005371,4.617091178894043,2897.346023028692,3267.1431698732895,19.52834058741757,6325.086745013252,-0.0061112094851003005,0.04968290665539127
11,Dataset/Bollywood_Rap\Bohemia - Cadillac.mp3,1.5273114442825317,0.5011422634124756,0.4594711363315582,0.2456812635050131,14.371103286743164,2.1365950107574463,3204.3822015205287,3716.6154874789218,19.89103923155616,7096.911804899866,0.010668697380522608,0.06492400836418526
12,Dataset/Bollywood_Rap\Bohemia - Charso Bees (420).mp3,1.4428629875183105,0.5157781839370728,0.4206082224845886,0.2445801127141585,13.127324104309082,4.226541519165039,3153.5648224663905,3216.8195962525947,20.25594297978461,6565.374401480706,-0.027880096761185,0.07214218432508147
13,Dataset/Bollywood_Rap\Bohemia - Dada.mp3,1.3817139863967896,0.5053882598876953,0.4317253530025482,0.23838957841466918,11.051217079162598,-0.1422196477651596,3283.6257679539112,3555.582844710108,19.767775772131273,7032.942715002817,-0.029085674020538948,0.06556266867124673
14,Dataset/Bollywood_Rap\Bohemia - Desi Munde.mp3,1.6020398139953613,0.5019249320030212,0.4283437132835388,0.23150307419059948,12.233878135681152,2.8030035495758057,3660.3874104510514,3569.363025805124,19.78511237803171,7591.917431842421,-0.010286595495477462,0.0878177831497467
15,Dataset/Bollywood_Rap\Bohemia - Desi Put Javaan.mp3,1.5315265655517578,0.612822413444519,0.4161689281463623,0.24115447252472613,20.268962860107422,4.426689624786377,2064.5616868782754,3027.724359503407,18.905720348115732,4728.759695489802,-0.016457604575735734,0.02543417895809394
16,Dataset/Bollywood_Rap\Bohemia - Dil Acapella.mp3,1.4489948749542236,0.592658281326294,0.5266958475112915,0.2639614783043946,16.19099998474121,4.514965534210205,2268.7769052843887,3114.8634245716007,20.43932772506101,5388.026598261149,0.0172595843316418,0.041513791474006495
17,Dataset/Bollywood_Rap\Bohemia - Dil.mp3,1.4489370584487915,0.5885657072067261,0.526639997959137,0.26395475999519413,16.190383911132812,4.5148749351501465,2268.738881632961,3114.807975707226,20.443232370086257,5387.643323544114,0.017260706525584212,0.041525646769111295
18,Dataset/Bollywood_Rap\Bohemia - Diwana.mp3,1.4439342021942139,0.5809367299079895,0.45057955384254456,0.23339694746123288,7.804911136627197,3.208930492401123,2480.6078804379677,2862.7075253550415,20.069284040167155,5674.504670534384,-0.00043177908951816716,0.04744486937029842
19,Dataset/Bollywood_Rap\Bohemia - Eitbaar (Trust Me).mp3,1.6088229417800903,0.6406688690185547,0.407335489988327,0.2314436911529134,18.887954711914062,5.842376232147217,2677.8115995105263,3344.856111145256,19.995107145028214,5964.5346777175255,0.027431122711807965,0.04204877853863692
20,Dataset/Bollywood_Rap\Bohemia - Ek Tera Pyar (Love Groove Mix).mp3,1.436506748199463,0.497188538312912,0.3997586965560913,0.2354621848596854,10.411285400390625,1.4407347440719604,2723.960088732663,2663.534384592839,20.595952379717993,5182.751881978121,-0.020571509758932932,0.06825098430862561
21,Dataset/Bollywood_Rap\Bohemia - Ek Tera Pyar.mp3,1.4539130926132202,0.5287255644798279,0.4768664240837097,0.260862270861501,8.70903491973877,4.2332634925842285,2516.2782461868187,2529.760530521095,20.39080484655125,5132.777558772936,-0.015239124235016617,0.06067019587992164
22,Dataset/Bollywood_Rap\Bohemia - Faqeer.mp3,1.4602049589157104,0.5946951508522034,0.3244702219963074,0.21209016057125546,17.200571060180664,5.504787445068359,1678.8755146617173,2312.187284750113,19.741231516549618,3541.9787781827426,-0.017021432678289258,0.027167773404390576
23,Dataset/Bollywood_Rap\Bohemia - Gol Gol.mp3,1.572383999824524,0.5646861791610718,0.4701995551586151,0.2402278654750433,19.602354049682617,3.171297550201416,2677.8668832842964,3384.1279384540817,19.400367355268465,6000.472978698441,0.01726242603311505,0.0396274977023257
24,Dataset/Bollywood_Rap\Bohemia - Guess Whos Back Album Introduction.mp3,1.2483478784561157,0.3995654284954071,0.4996461570262909,0.2277559324610259,6.3369269371032715,-2.9980359077453613,2974.0488315755,2869.94682346702,18.376630891082087,6032.493205960155,0.008033924789362849,0.07638620693663718
25,Dataset/Bollywood_Rap\Bohemia - Gunagaar (Sinner).mp3,1.5483638048171997,0.5096596479415894,0.45735761523246765,0.25018132014718625,13.808646202087402,2.8916890621185303,3136.7965354910148,3164.7987891542175,19.427458512258706,6362.1496883364725,-0.0221378603461249,0.06445329442444483
26,Dataset/Bollywood_Rap\Bohemia - Ishq.mp3,1.6401423215866089,0.6089349985122681,0.4964729845523834,0.25455012115799663,16.05445098876953,6.481268882751465,2342.750666175216,2950.7157945038857,19.381483617230483,5080.651517624021,-0.002126770560260765,0.03734642726011749
27,Dataset/Bollywood_Rap\Bohemia - Koi Ni.mp3,1.5635474920272827,0.5586041212081909,0.4432806670665741,0.24027989700386865,19.147424697875977,2.9306416511535645,4147.511347513813,3925.2343633039236,19.138890154317647,8591.334049170617,0.007340787158649584,0.09442090460851106
28,Dataset/Bollywood_Rap\Bohemia - Lak Da Hulara.mp3,1.6074312925338745,0.5311803221702576,0.4775081276893616,0.2531110185653159,19.66802406311035,3.9512505531311035,2617.3108009300736,3328.463056100072,18.656562906038808,5494.86343503937,-0.005645422416334686,0.041373798214081936
29,Dataset/Bollywood_Rap\Bohemia - Lela.mp3,1.5513033866882324,0.5705525875091553,0.4501626193523407,0.23631522373604988,19.316160202026367,5.244662284851074,3490.517932364049,3930.2486944590455,19.53236622512729,7938.935749197549,0.00242427617874635,0.06429209334877443
30,Dataset/Bollywood_Rap\Bohemia - Meri Jeet.mp3,1.4136748313903809,0.4350193738937378,0.37617480754852295,0.21680727335043617,12.200057983398438,2.0833752155303955,2967.975134826043,3599.4970330869864,19.984121955111686,6401.313631939743,-0.02692252737736412,0.05515259863479604
31,Dataset/Bollywood_Rap\Bohemia - Na Suno.mp3,1.358675241470337,0.609188437461853,0.37317973375320435,0.21669005764045285,7.90008020401001,1.4138157367706299,2450.0232550230876,3209.6599414460843,19.31184577653612,5575.766884609391,0.04446365105397257,0.034484520885817056
32,Dataset/Bollywood_Rap\Bohemia - Nazere Mili.mp3,1.2526781558990479,0.5685219764709473,0.3703728914260864,0.20524048910646944,21.345125198364258,4.897956848144531,1808.845252308169,2531.957145330718,19.261308745909744,3878.81762295082,0.01761746527886948,0.026094134221311474
